"Name","RA_Hours","Dec_Degrees","pm_ra","pm_dec","Visual Magnitude"
"NGC 2655 (Galaxy - G-S - Caldwell C20)","8.927148","78.223083","0","0","10.2"
"NGC 2681 (Galaxy - G-S - NGC 2681)","8.892422","51.313655","-0.3","0.2","10.9"
"NGC 2682 (Messier 67 - OC - Messier M67)","8.848000","11.815000","0","0","6.1"
"NGC 2683 (UFO Galaxy - G-S - NGC 2683)","8.878141","33.421833","0","0","9.7"
"NGC 2685 (Helix Galaxy - G-S - Caldwell)","8.918000","58.735000","0","0","11.4"
"NGC 2736 (Pencil Nebula - SNR - NGC 2736)","9.006000","-45.951000","0","0"
"NGC 2775 (Galaxy - G-S - Caldwell C48)","9.172259","7.038021","0","0","6.5"
"NGC 2782 (Galaxy - G-S - NGC 2782)","9.231000","40.115000","0","0","12.4"
"NGC 2787 (Galaxy - G-S - NGC 2787)","9.321835","69.203231","0.0","1.1","11.3"
"NGC 2808 (Globular Cluster - GC - NGC 2808)","9.200861","-64.863500","1.0","0.3","5.7"
"NGC 2811 (Galaxy - G-S - NGC 2811)","9.269747","-16.312735","0.6","0.0","11.5"
"NGC 2841 (Tiger's Eye Galaxy - G-S - NGC 2841)","9.367411","50.976594","0","0","10.2"
"NGC 2859 (Galaxy - G-S - NGC 2859)","9.405146","34.513489","1.3","-0.8","10.9"
"NGC 2867 (Planetary Nebula - PN - NGC 2867)","9.357051","-58.311285","-5.5","3.0","9.7"
"NGC 2903 (Galaxy - G-S - NGC 2903)","9.536142","21.500831","0","0","8.9"
"NGC 2964 (Galaxy - G-S - NGC 2964)","9.715100","31.847200","0","0","11.4"
"NGC 2976 (Galaxy - G-S - NGC 2976)","9.785000","67.915000","0","0","10.2"
"NGC 2985 (Galaxy - G-S - NGC 2985)","9.835000","72.281000","0","0","10.5"
"NGC 2997 (Galaxy - G-S - Caldwell C81)","9.760765","-31.190929","-0.4","-0.7","6.9"
"NGC 3003 (Galaxy - G-S - NGC 3003)","9.809883","33.421619","0","0","11.8"
